Subnum,Peer-rated Bullying,Sex (male = 1),Zscores Sex,Peer-rated Defensive Egotism,Zscores Peer-rated Defensive Egotism,ZSex X ZPeer Defensive Egotism,Peer-rated Assists/SupportsBully,Teacher-rated Social Aggression,Teacher-rated Defensive Egotism,Zscores Teacher-rated Defensive Egotism,ZSex X ZTeacher Defesnive Egotism,Peer-rated Victim of Bullying,Peer-rated Self-esteem,Zscores Peer-rated Self-esteem,ZSex X ZPeer-rated Self-esteem,Peer-rated Defends the Victim
150,0,2,1.21257,0.64,-0.52043,-0.63,0,0,0,-1.02308,-1.24,0,1.29,-0.60011,-0.73,1.67
151,0,2,1.21257,1,0.4316,0.52,0,0,0,-1.02308,-1.24,0,1.43,-0.13145,-0.16,0.33
152,0.33,1,-0.81573,1,0.4316,-0.35,0.33,0.25,0.25,-0.51504,0.42,0,1.57,0.33722,-0.28,0.33
153,0,2,1.21257,0.5,-0.90125,-1.09,0,0,0.25,-0.51504,-0.62,0,1.36,-0.36578,-0.44,1.33
154,0,1,-0.81573,1,0.4316,-0.35,0.33,0,0.6,0.50105,-0.41,0,1.5,0.10289,-0.08,0.33
155,0,2,1.21257,0.5,-0.90125,-1.09,0,0,0,-1.02308,-1.24,0,1.36,-0.36578,-0.44,1.33
156,0,2,1.21257,1.43,1.57404,1.91,0,0,0,-1.02308,-1.24,0,1.36,-0.36578,-0.44,1.67
157,0,2,1.21257,1,0.4316,0.52,0.33,0.67,0.5,0.3317,0.4,0,1.57,0.33722,0.41,1
158,0.67,1,-0.81573,1.43,1.57404,-1.28,1.33,1,0.8,0.50105,-0.41,0.33,1.71,0.80588,-0.66,0.33
159,0,2,1.21257,1.14,0.81241,0.99,0.33,0,0,-1.02308,-1.24,0,1.36,-0.36578,-0.44,1
160,0,1,-0.81573,0.93,0.24119,-0.2,0.67,0.33,0.33,-0.34569,0.28,0,1.57,0.33722,-0.28,0.33
161,0,1,-0.81573,0.79,-0.13962,0.11,0,0.2,1.2,1.41553,-1.15,0,1.57,0.33722,-0.28,1
162,0,1,-0.81573,0.93,0.24119,-0.2,0,0,0.2,-0.51504,0.42,0,1.21,-0.83444,0.68,1
163,0,2,1.21257,0.79,-0.13962,-0.17,0,0.17,0.17,-0.68439,-0.83,0,1.5,0.10289,0.12,1.67
164,0,2,1.21257,0.57,-0.71084,-0.86,0,0.17,0.67,0.3317,0.4,0,1.36,-0.36578,-0.44,0.33
165,0,2,1.21257,0.64,-0.52043,-0.63,0,0,0.6,0.50105,0.61,0,1.57,0.33722,0.41,0.67
166,0,1,-0.81573,0.36,-1.28206,1.05,0,0.2,0,-1.02308,0.83,1,0.79,-2.24044,1.83,0.33
167,0,1,-0.81573,1.21,1.00282,-0.82,0.33,0,0.2,-0.51504,0.42,0,1.57,0.33722,-0.28,1
168,0.33,1,-0.81573,1.07,0.62201,-0.51,1,0.6,0.6,0.19622,-0.16,0,1.64,0.57155,-0.47,0.67
169,1.67,1,-0.81573,1.5,1.76445,-1.44,1.33,1,1.33,2.2284,-1.82,0.67,1.57,0.33722,-0.28,0
170,0.33,1,-0.81573,1.07,0.62201,-0.51,0.33,0.4,0.8,0.60266,-0.49,0,1.5,0.10289,-0.08,0.33
171,0,2,1.21257,0.5,-0.90125,-1.09,0,0,0,-1.02308,-1.24,0.33,1.07,-1.30311,-1.58,0.33
172,0,2,1.21257,0.5,-0.90125,-1.09,0,0,0.25,-0.51504,-0.62,0,1.5,0.10289,0.12,1.67
173,0.33,1,-0.81573,0.4,-1.16781,0.95,0.33,0,0,-1.02308,0.83,0,1.47,-0.00647,0.01,1.33
174,0,2,1.21257,0.33,-1.34553,-1.63,0,0,0,-1.02308,-1.24,0,1.13,-1.10002,-1.33,0.67
175,0.67,1,-0.81573,1.07,0.60931,-0.5,0.67,0,0.17,-0.68439,0.56,0,1.93,1.5245,-1.24,0.67
176,0,2,1.21257,0.13,-1.87867,-2.28,0,0.33,0.33,-0.34569,-0.42,0,0.47,-3.28712,-3.99,0.33
177,0.33,2,1.21257,0.6,-0.63468,-0.77,0.33,0.33,0.5,-0.00699,-0.01,0,1.6,0.43095,0.52,0.33
178,0.67,1,-0.81573,0.8,-0.10154,0.08,0.33,0.17,1.17,1.34779,-1.1,0,1.8,1.08708,-0.89,1
179,0,1,-0.81573,0.27,-1.52324,1.24,0.33,0,0.5,-0.00699,0.01,0,1.4,-0.22518,0.18,0.67
180,0.33,2,1.21257,1.07,0.60931,0.74,0.33,1.6,1.4,1.82196,2.21,0,1.47,-0.00647,-0.01,0
181,0.33,1,-0.81573,1.13,0.78703,-0.64,1,0.25,1.25,1.51714,-1.24,0,1.73,0.86837,-0.71,1
182,0.33,2,1.21257,0.53,-0.81239,-0.99,0.33,0.4,0.4,-0.21021,-0.25,0,1.73,0.86837,1.05,1
183,0,1,-0.81573,0.8,-0.10154,0.08,0,0.25,1.5,2.02518,-1.65,2,1.07,-1.31873,1.08,0.67
184,0,1,-0.81573,0.33,-1.34553,1.1,0,0,0,-1.02308,0.83,0.67,1.53,0.21224,-0.17,1
185,0,1,-0.81573,1,0.4316,-0.35,0,0.25,0.25,-0.51504,0.42,0,1.87,1.30579,-1.07,1
186,0,1,-0.81573,0.67,-0.45696,0.37,0,0.17,0.5,-0.00699,0.01,0,2,1.74321,-1.42,1.33
187,1,1,-0.81573,1.33,1.32016,-1.08,0.67,0.83,1.17,1.34779,-1.1,0,1.93,1.5245,-1.24,0.33
188,0.33,1,-0.81573,1.67,2.20873,-1.8,0.33,1.17,1.33,1.68648,-1.38,0,1.87,1.30579,-1.07,0.33
189,0.33,2,1.21257,0.6,-0.63468,-0.77,0,0.4,0.8,0.60266,0.73,0,1.53,0.21224,0.26,1.33
190,0,1,-0.81573,0.33,-1.34553,1.1,0,0,0,-1.02308,0.83,0,1.67,0.64966,-0.53,1
191,0,2,1.21257,0.33,-1.34553,-1.63,0,0,0.2,-0.61665,-0.75,0,1.53,0.21224,0.26,1.33
192,0.33,1,-0.81573,0.87,0.07618,-0.06,0.67,0.57,1,1.00909,-0.82,0,1.27,-0.6626,0.54,0.33
